District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
5.0,4327,1,5800000.0,37.0,19,9,18.9069766981,10,0.0,1.0,0.0,1.0,3,14,0.0
5.0,4328,2,5800000.0,45.2,29,6,14.6682574381,8,1.0,0.0,1.0,1.0,5,5,0.0
5.0,4329,1,5800000.0,30.6,19,6,7.0195409809,nan,nan,1.0,1.0,1.0,3,5,0.0
5.0,4330,2,5800000.0,48.0,31,10,17.7080791488,nan,nan,0.0,1.0,1.0,4,14,0.0
5.0,4331,2,5800000.0,46.0,28.8,6.2,15.3103044871,5,0.0,0.0,1.0,1.0,4,9,0.0
5.0,4332,1,5800000.0,38.2,19.1,8.2,18.6043722142,7,1.0,0.0,1.0,1.0,15,17,0.0
5.0,4333,2,5800000.0,44.5,28.4,6.6,15.8909667005,5,1.0,0.0,0.0,0.0,9,9,0.0
5.0,4334,1,5800000.0,32.3,18.5,7,17.3959886217,2,1.0,0.0,0.0,0.0,9,9,0.0
5.0,4335,1,5800000.0,35.4,19.6,9.9,9.93072034927,8,1.0,0.0,0.0,1.0,9,12,0.0
5.0,4336,1,5826240.0,40.8,14.7,9.4,20.2233224719,20,0.0,1.0,0.0,1.0,24,24,1.0
5.0,4337,1,5833380.0,39.9,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,29,45,1.0
5.0,4338,1,5850000.0,33.0,18,6,17.545175185,5,0.0,0.0,0.0,0.0,7,9,0.0
5.0,4339,1,5850000.0,39.0,21,9,17.1031192318,5,1.0,0.0,0.0,0.0,2,12,0.0
5.0,4340,2,8200000.0,60.4,32.3,10.8,17.0028125844,5,0.0,1.0,0.0,1.0,7,12,1.0
5.0,4341,2,13657800.0,66.3,31.8,12.4,8.69560592964,10,1.0,1.0,1.0,1.0,4,9,0.0
5.0,4342,2,9200000.0,53.0,33.5,8.5,9.04195614324,18,1.0,1.0,1.0,1.0,7,14,0.0
5.0,4343,2,5850000.0,45.0,31,6.5,14.32696625,10,1.0,0.0,0.0,0.0,8,9,0.0
5.0,4344,1,5850000.0,43.0,29,8.5,19.686405073,nan,nan,0.0,0.0,1.0,14,16,0.0
5.0,4345,1,5862488.0,37.5,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,7,13,1.0
5.0,4346,1,5871390.0,38.3,16,12,18.6172651701,7,1.0,1.0,0.0,0.0,16,19,1.0
5.0,4347,1,5871630.0,39.7,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,33,45,1.0
5.0,4348,1,5878200.0,38.8,18,14,18.6172651701,7,1.0,1.0,0.0,1.0,11,11,1.0
5.0,4349,2,5890000.0,38.0,25,7,8.89518311921,4,1.0,0.0,0.0,0.0,1,9,0.0
5.0,4350,1,5897880.0,38.7,16,12,18.6172651701,7,1.0,1.0,0.0,0.0,13,13,1.0
5.0,4351,1,5900000.0,33.0,18,7,17.0421461946,19,1.0,0.0,0.0,1.0,4,12,0.0
5.0,4352,2,5900000.0,45.0,28,6,19.6648214262,12,0.0,0.0,1.0,1.0,2,9,0.0
5.0,4353,2,5900000.0,45.0,28,7,17.7613642624,10,1.0,0.0,1.0,0.0,6,9,0.0
5.0,4354,1,5906400.0,36.8,12.3,15.8,7.837212388,15,0.0,1.0,0.0,1.0,2,15,1.0
5.0,4355,1,5928500.0,35.5,19.3,3.9,20.1548826029,nan,nan,0.0,0.0,1.0,22,45,1.0
5.0,4356,1,5940000.0,39.3,19.6,8.7,17.0529171631,15,1.0,0.0,0.0,1.0,4,12,0.0
5.0,4357,1,5947613.0,38.8,23,10,6.50831662327,3,0.0,1.0,0.0,1.0,10,13,1.0
5.0,4358,1,5950000.0,39.0,18,9,15.964571184,12,1.0,0.0,0.0,1.0,4,17,0.0
5.0,4359,2,5950000.0,46.0,30,6,17.0034374296,12,1.0,0.0,1.0,1.0,1,9,0.0
5.0,4360,2,5950000.0,44.0,29,7,18.504837883,11,0.0,0.0,1.0,0.0,10,12,0.0
5.0,4361,2,5950000.0,46.0,29,7,17.7644165361,5,0.0,0.0,1.0,1.0,3,12,0.0
5.0,4362,1,5950000.0,30.2,18,6,9.776832894,5,1.0,1.0,0.0,0.0,1,5,0.0
5.0,4363,3,5950000.0,52.0,34,6,18.0663064449,10,0.0,0.0,0.0,1.0,5,12,0.0
5.0,4364,1,5962198.0,40.9,14.6,9.1,20.1673827187,20,0.0,1.0,0.0,1.0,23,24,1.0
5.0,4365,1,5962390.0,37.9,23,8,6.50831662327,3,0.0,1.0,0.0,1.0,10,13,1.0
5.0,4366,1,5980000.0,38.0,19,7,16.6034819556,5,1.0,0.0,1.0,1.0,12,17,0.0
5.0,4367,1,5980000.0,38.9,19,8.3,17.8074874542,15,1.0,0.0,1.0,1.0,7,14,0.0
5.0,4368,3,63769000.0,102.0,nan,nan,5.06339070841,5,1.0,1.0,0.0,0.0,12,17,0.0
5.0,4369,2,19687660.0,85.5,54,15,5.18310246359,20,1.0,1.0,1.0,0.0,7,8,0.0
5.0,4370,3,34242600.0,136.0,69,15,4.98423323398,8,1.0,1.0,0.0,1.0,4,16,1.0
5.0,4371,1,5990000.0,41.0,21,9,15.9214945582,24,0.0,0.0,1.0,1.0,5,16,0.0
5.0,4372,3,5990000.0,60.0,44,6.5,18.1567753827,15,1.0,0.0,1.0,1.0,1,9,0.0
5.0,4373,1,5994200.0,41.0,14.6,9.1,20.1673827187,20,0.0,1.0,0.0,1.0,24,24,1.0
5.0,4374,2,5995000.0,47.3,34,7,14.2002089193,22,1.0,0.0,1.0,0.0,2,9,0.0
5.0,4375,1,5998600.0,35.6,19.4,4,20.1548826029,nan,nan,0.0,0.0,1.0,26,45,1.0
5.0,4376,1,5999000.0,32.2,18.6,6.5,16.0187045599,5,1.0,0.0,0.0,0.0,4,9,0.0
5.0,4377,1,6000000.0,32.0,18,6,9.27783267208,3,1.0,0.0,1.0,1.0,1,9,0.0
5.0,4378,2,6000000.0,35.2,26,6,13.8327040903,10,1.0,1.0,0.0,1.0,5,9,0.0
5.0,4379,1,6000000.0,39.1,21,9,18.9434965797,nan,nan,0.0,1.0,1.0,8,12,0.0
5.0,4380,2,6000000.0,37.0,24,8,5.18593116233,nan,nan,0.0,1.0,0.0,2,9,0.0
5.0,4381,2,6000000.0,44.0,29,6,15.5473917769,21,1.0,0.0,1.0,0.0,1,9,0.0
5.0,4382,1,6000000.0,38.1,19.2,8,16.6296896127,9,1.0,0.0,1.0,0.0,1,17,0.0
5.0,4383,2,6000000.0,36.9,22.9,6.5,14.667984662,10,1.0,0.0,0.0,0.0,2,12,0.0
5.0,4384,2,6000000.0,53.0,31,9,18.9434965797,nan,nan,0.0,1.0,0.0,1,12,0.0
5.0,4385,1,6000000.0,37.9,19.1,9.6,16.5811088446,10,1.0,0.0,1.0,1.0,5,12,0.0
5.0,4386,2,6000000.0,38.3,22.8,7.2,13.6418894342,7,1.0,0.0,0.0,1.0,5,9,0.0
5.0,4387,2,6000000.0,46.4,29.5,6,18.0852171241,8,1.0,0.0,1.0,1.0,1,9,0.0
5.0,4388,2,6000000.0,38.0,25,6,10.5539478087,7,1.0,1.0,1.0,1.0,9,9,0.0
5.0,4389,2,6000000.0,46.5,31,7,18.7345049311,nan,nan,0.0,0.0,1.0,12,12,0.0
5.0,4390,1,6009786.0,39.7,15.2,9.9,19.767584156,15,0.0,1.0,0.0,1.0,33,45,0.0
5.0,4391,1,6016000.0,37.0,28.4,5,5.54678347037,15,1.0,1.0,0.0,1.0,2,12,1.0
5.0,4392,1,6016400.0,35.6,16,12,18.6172651701,7,1.0,1.0,0.0,0.0,11,19,1.0
5.0,4393,1,6017512.0,38.5,23,10,6.50831662327,3,0.0,1.0,0.0,1.0,7,13,1.0
5.0,4394,2,6050000.0,40.0,27,7,14.0940167974,11,0.0,0.0,1.0,1.0,2,12,0.0
5.0,4395,2,6050000.0,44.0,28,6,15.0801852784,9,1.0,0.0,0.0,0.0,4,9,0.0
5.0,4396,1,14358643.0,52.8,14,27.4,5.01243740716,8,1.0,1.0,0.0,0.0,2,18,1.0
5.0,4397,1,5800000.0,39.0,18,9,19.040967811,20,1.0,1.0,0.0,1.0,24,25,0.0
5.0,4398,2,16090866.0,78.9,36.7,14.7,8.69560592964,10,1.0,1.0,1.0,1.0,3,10,0.0
5.0,4399,1,6069000.0,35.7,19.4,4.1,20.1548826029,nan,nan,0.0,0.0,1.0,29,45,1.0
5.0,4400,1,6078240.0,37.8,15.5,13.9,15.8802971545,10,1.0,1.0,0.0,1.0,16,22,1.0
5.0,4401,1,6093650.0,42.8,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,19,45,1.0
5.0,4402,1,6100000.0,39.0,20.5,9,15.8997521518,10,1.0,0.0,1.0,0.0,1,14,0.0
5.0,4403,1,6100000.0,37.0,18,8,14.9342259296,12,1.0,0.0,0.0,1.0,12,16,0.0
5.0,4404,3,6100000.0,57.9,42.5,6,19.5725914415,10,0.0,0.0,1.0,1.0,6,9,0.0
5.0,4405,1,6100000.0,31.5,19,6,5.03258584802,7,0.0,0.0,0.0,1.0,2,5,0.0
5.0,4406,3,6100000.0,56.0,42,6,19.9525884408,nan,nan,0.0,0.0,1.0,3,9,0.0
5.0,4407,2,6100000.0,43.0,27,6,12.3290433879,14,1.0,0.0,0.0,1.0,4,5,0.0
5.0,4408,3,6100000.0,63.0,45,7,18.5445366204,nan,nan,0.0,1.0,1.0,3,12,0.0
5.0,4409,1,6100000.0,30.0,18,6,9.70426288903,10,0.0,0.0,0.0,1.0,7,8,0.0
5.0,4410,1,6100900.0,36.1,19.4,4.1,20.1548826029,nan,nan,0.0,0.0,1.0,27,45,1.0
5.0,4411,1,6112500.0,37.5,19.1,13.9,15.8802971545,10,1.0,1.0,0.0,1.0,18,22,1.0
5.0,4412,1,6131830.0,38.3,12.9,13.8,15.8802971545,10,1.0,1.0,0.0,1.0,17,22,1.0
5.0,4413,1,6150000.0,38.9,19,8,13.0223333038,9,1.0,0.0,0.0,1.0,8,17,0.0
5.0,4414,3,6150000.0,61.0,43,6,19.915039617,nan,nan,0.0,0.0,1.0,9,9,0.0
5.0,4415,1,6150000.0,39.0,19.9,10.2,16.89388481,9,1.0,0.0,0.0,1.0,12,22,0.0
5.0,4416,2,6150000.0,52.0,30.3,6.7,20.0598452148,15,0.0,0.0,0.0,1.0,8,12,0.0
5.0,4417,1,6152003.0,42.7,nan,nan,19.767584156,20,0.0,1.0,0.0,0.0,23,45,1.0
5.0,4418,1,6154400.0,39.2,16.8,10.1,20.1548826029,nan,nan,0.0,0.0,1.0,2,17,1.0
5.0,4419,1,6165219.0,39.2,23,11,6.50831662327,3,0.0,1.0,0.0,1.0,8,13,1.0
5.0,4420,1,6165900.0,40.3,16.4,10.0,20.1548826029,15,0.0,1.0,0.0,1.0,25,45,1.0
